id,name,sortorder,parent
356,..._longer,3,283.0
314,Adjective_phrase,5,2.0
311,Clause,2,2.0
2,Line,1,
283,Line_To_be_or_not_to_be,3,
346,Longer_passage,12,2.0
312,Noun_phrase,3,2.0
315,Other,6,2.0
355,To_be_or_not_to_be,2,283.0
354,To_be_or_not_to_be_that_is_the_question,1,283.0
313,Verb_phrase,4,2.0
320,pending,13,2.0
