id,sortorder,parent,name
150,4,,ANTHOLOGY_ENTRY
80,1,,BODY_OF_TEXT
141,9,,CHARACTERNAME
119,5,,COMPLETE_TEXT
139,3,,EPIGRAPH
131,7,,FOOTNOTE_OR_OTHER
154,12,,First_part_of_academic_title
153,11,,PREFACE_OR_DEDICATION
152,10,,STAGE_DIRECTION
146,2,,TITLE
