id,sortorder,parent,name
71,11,,Annotated_Shakespeare_edition
63,3,,Annotated_edition
59,7,,Anthology_or_dictionary
67,2,,Fulltext_database
60,5,,Literary_Studies
5,1,,Reading
79,13,,Scholarly_database
62,4,,Shakespeare_Studies
83,14,,morethanonelexia
